155.94.88.58 - - [03/Oct/2017:08:51:29 +0200] "GET / HTTP/1.0" 403 468 "-" "sysscan/1.0 (https://github.com/robertdavidgraham/sysscan)"
218.2.0.52 - - [03/Oct/2017:14:08:29 +0200] "GET / HTTP/1.1" 403 509 "http://84.134.110.21:80" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)"
141.212.122.16 - - [03/Oct/2017:16:44:19 +0200] "GET / HTTP/1.1" 403 453 "-" "Mozilla/5.0 zgrab/0.x"
169.54.244.78 - - [03/Oct/2017:17:26:15 +0200] "GET / HTTP/1.0" 403 468 "-" "Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0"
31.210.102.114 - - [03/Oct/2017:22:45:58 +0200] "GET / HTTP/1.0" 403 468 "-" "masscan/1.0 (https://github.com/robertdavidgraham/masscan)"
218.2.0.52 - - [04/Oct/2017:01:49:45 +0200] "GET / HTTP/1.1" 403 509 "http://84.134.110.21:80" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)"
23.247.47.74 - - [04/Oct/2017:03:58:35 +0200] "GET / HTTP/1.1" 403 453 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
110.44.126.237 - - [04/Oct/2017:10:24:41 +0200] "GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1" 404 502 "-" "ZmEu"
110.44.126.237 - - [04/Oct/2017:10:24:41 +0200] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 489 "-" "ZmEu"
110.44.126.237 - - [04/Oct/2017:10:24:42 +0200] "GET /phpmyadmin/scripts/setup.php HTTP/1.1" 404 489 "-" "ZmEu"
110.44.126.237 - - [04/Oct/2017:10:24:42 +0200] "GET /pma/scripts/setup.php HTTP/1.1" 404 482 "-" "ZmEu"
110.44.126.237 - - [04/Oct/2017:10:24:43 +0200] "GET /myadmin/scripts/setup.php HTTP/1.1" 404 486 "-" "ZmEu"
110.44.126.237 - - [04/Oct/2017:10:24:43 +0200] "GET /MyAdmin/scripts/setup.php HTTP/1.1" 404 486 "-" "ZmEu"
163.172.73.217 - - [04/Oct/2017:17:40:35 +0200] "\x16\x03\x01" 400 0 "-" "-"
163.172.73.217 - - [04/Oct/2017:17:40:35 +0200] "GET // HTTP/1.1" 403 472 "-" "libwww-perl/6.27"
84.134.110.21 - - [04/Oct/2017:20:31:46 +0200] "GET / HTTP/1.1" 403 509 "-" "Mozilla/5.0 (ABE, https://noscript.net/abe/wan)"
117.50.7.159 - - [04/Oct/2017:22:31:49 +0200] "GET / HTTP/1.0" 403 472 "-" "-"
84.134.110.21 - - [04/Oct/2017:23:31:22 +0200] "GET /portfolio HTTP/1.1" 301 593 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0"
84.134.110.21 - - [04/Oct/2017:23:31:22 +0200] "GET /portfolio/ HTTP/1.1" 200 8997 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0"
84.134.110.21 - - [04/Oct/2017:23:31:23 +0200] "GET /portfolio/wp-content/plugins/om-cc-carousel/shared/assets/css/social-links.min.css?ver=1.3.6 HTTP/1.1" 200 600 "http://dhein.ddns.net/portfolio/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0"
84.134.110.21 - - [04/Oct/2017:23:31:23 +0200] "GET /portfolio/wp-content/plugins/om-cc-carousel/shared/assets/css/social-icons.min.css?ver=1.3.6 HTTP/1.1" 200 1004 "http://dhein.ddns.net/portfolio/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0"
84.134.110.21 - - [04/Oct/2017:23:31:23 +0200] "GET /portfolio/wp-content/plugins/om-cc-carousel/shared/assets/css/arrows.min.css?ver=1.3.6 HTTP/1.1" 200 915 "http://dhein.ddns.net/portfolio/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0"
84.134.110.21 - - [04/Oct/2017:23:31:23 +0200] "GET /portfolio/wp-content/plugins/om-cc-carousel/assets/css/styles.min.css?ver=1.3.2 HTTP/1.1" 200 1999 "http://dhein.ddns.net/portfolio/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0"
84.134.110.21 - - [04/Oct/2017:23:31:23 +0200] "GET /portfolio/wp-content/themes/seriously/assets/css/ionicons.min.css HTTP/1.1" 200 8632 "http://dhein.ddns.net/portfolio/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0"
